phi1,phi2,energy
168.75,67.5,0.01826287547555694
180.0,67.5,0.005580841176197282
191.25,67.5,0.018467643506483
202.5,67.5,0.051482332318300905
213.75,67.5,0.09669126148583018
225.0,67.5,0.13914798667246941
236.25,67.5,0.1635121385088496
247.5,67.5,0.15790696845670027
258.75,67.5,0.12578271646907524
270.0,67.5,0.08113578431311907
281.25,67.5,0.04501956942385732
292.5,67.5,0.02660565218229749
303.75,67.5,0.02917761974822497
315.0,67.5,0.05610927885572892
326.25,67.5,0.10508958912487287
337.5,67.5,0.1620807896979386
348.75,67.5,0.2082178654454765
360.0,67.5,0.2257208690598418
0.0,78.75,0.25592516733195225
11.25,78.75,0.23646348654256144
22.5,78.75,0.19608667742431862
33.75,78.75,0.14908714305965987
45.0,78.75,0.10547357986797579
56.25,78.75,0.07423550715066085
67.5,78.75,0.060136113143926195
78.75,78.75,0.07231068765941018
90.0,78.75,0.10909168905709521
101.25,78.75,0.15534594888504216
112.5,78.75,0.1864662293000947
123.75,78.75,0.1888559330436692
135.0,78.75,0.1617815445360975
146.25,78.75,0.11849439375055226
157.5,78.75,0.07533213118949789
168.75,78.75,0.04311117192355596
180.0,78.75,0.030163344665197656
191.25,78.75,0.04341852671041124
202.5,78.75,0.0781471847640205
213.75,78.75,0.12384715172447613
225.0,78.75,0.16666576892657758
236.25,78.75,0.19005554932027735
247.5,78.75,0.18357981102599297
258.75,78.75,0.1514995537527284
270.0,78.75,0.10712794336541265
281.25,78.75,0.06821775992739276
292.5,78.75,0.04539119298897276
303.75,78.75,0.047026904348967946
315.0,78.75,0.07804784185736935
326.25,78.75,0.13346476148035435
337.5,78.75,0.19487874878268485
348.75,78.75,0.24145942101677065
360.0,78.75,0.25592476185101987
0.0,90.0,0.30328760741576843
11.25,90.0,0.2861274381975818
22.5,90.0,0.24853506882027432
33.75,90.0,0.20051939844324806
45.0,90.0,0.15242344277976372
56.25,90.0,0.11551045723535935
67.5,90.0,0.09703733973219641
78.75,90.0,0.10935667105331959
90.0,90.0,0.1480130232293959
101.25,90.0,0.19569477979712246
112.5,90.0,0.22710538478622766
123.75,90.0,0.22968120442328654
135.0,90.0,0.20169123925461463
146.25,90.0,0.15728414925797551
157.5,90.0,0.11275399570149602
168.75,90.0,0.0803290793674023
180.0,90.0,0.06768374112107267
191.25,90.0,0.08204548149569746
202.5,90.0,0.1171792153172646
213.75,90.0,0.16367493923007714
225.0,90.0,0.20753098020941252
236.25,90.0,0.23133516243979102
247.5,90.0,0.22506358395457937
258.75,90.0,0.19215067093591642
270.0,90.0,0.14793030505461502
281.25,90.0,0.10453874284758058
292.5,90.0,0.078425750381939
303.75,90.0,0.08296288282326714
315.0,90.0,0.12070730766936322
326.25,90.0,0.1820316836156053
337.5,90.0,0.24654658877261681
348.75,90.0,0.2906611240478014
360.0,90.0,0.3032884183776332
0.0,101.25,0.3563124917773166
11.25,101.25,0.34039005407339573
22.5,101.25,0.30291861947807774
33.75,101.25,0.2514072952508286
45.0,101.25,0.19771813123134052
56.25,101.25,0.15431927036206616
67.5,101.25,0.133427457205471
78.75,101.25,0.1481048647328862
90.0,101.25,0.1893279132182215
101.25,101.25,0.23787091195936227
112.5,101.25,0.2700203037848041
123.75,101.25,0.27251847376282967
135.0,101.25,0.244121202678798
146.25,101.25,0.19855098971856933
157.5,101.25,0.15258908187024645
168.75,101.25,0.11915451722416037
180.0,101.25,0.10771893228684348
191.25,101.25,0.12229882157316752
202.5,101.25,0.15768598117574584
213.75,101.25,0.2052051397622563
225.0,101.25,0.24995161756487505
236.25,101.25,0.27427116646322247
247.5,101.25,0.2685129272404083
258.75,101.25,0.23694073797287274
270.0,101.25,0.1894982153426099
281.25,101.25,0.14271601892687613
292.5,101.25,0.11629242782510119
303.75,101.25,0.1253802763285421
315.0,101.25,0.17014317612211016
326.25,101.25,0.23747374307549762
337.5,101.25,0.30040727136019996
348.75,101.25,0.34272076029537857
360.0,101.25,0.35631157944408187
0.0,112.5,0.39564640312164556
11.25,112.5,0.3809969738003929
22.5,112.5,0.3412359893300163
33.75,112.5,0.28599160197882156
45.0,112.5,0.22702246387052583
56.25,112.5,0.17688896492836648
67.5,112.5,0.15608149187210074
78.75,112.5,0.17503692932132253
90.0,112.5,0.21875713408189768
101.25,112.5,0.26719105836673407
112.5,112.5,0.3001712812729238
123.75,112.5,0.30354366882420436
135.0,112.5,0.2752037733371253
146.25,112.5,0.22876501954033301
157.5,112.5,0.1817334521565499
168.75,112.5,0.1483165259451198
180.0,112.5,0.13634509753592283
191.25,112.5,0.14998710869258502
202.5,112.5,0.18443334905623487
213.75,112.5,0.23237846569463727
225.0,112.5,0.27842755201163527
236.25,112.5,0.30447161266420153
247.5,112.5,0.29905904620500223
258.75,112.5,0.2680056701974536
270.0,112.5,0.21917275236228306
281.25,112.5,0.17142003657590976
292.5,112.5,0.14731174340886355
303.75,112.5,0.1624714708823376
315.0,112.5,0.2132152191043133
